District,Facility Type,Total No. of Facilities #,No. of facilities reporting nil performance *,Performance - Overall Average **,Performance - Maximum,Performance - Minimum,No. of facilities by performance - 1 to 100,No. of facilities by performance - 101 to 500,No. of facilities by performance - 501 to 1000,No. of facilities by performance - >1000
Anantnag,DH,2,0,34828,41255,28402,0,0,0,2
Anantnag,CHC,5,0,10674,16209,5986,0,0,0,5
Anantnag,SC,154,10,42,300,2,137,7,0,0
Badgam,DH,1,0,23012,23012,23012,0,0,0,1
Badgam,CHC,9,0,9446,16828,4151,0,0,0,9
Badgam,SC,150,9,56,287,4,124,17,0,0
Bandipora,DH,1,0,17976,17976,17976,0,0,0,1
Bandipora,CHC,3,0,11201,21847,1311,0,0,0,3
Bandipora,SC,43,1,142,690,11,17,24,1,0
Baramula,DH,1,0,52143,52143,52143,0,0,0,1
Baramula,CHC,7,0,14424,31500,2274,0,0,0,7
Baramula,SC,200,34,132,2500,5,86,79,0,1
Doda,DH,1,0,16286,16286,16286,0,0,0,1
Doda,CHC,3,0,4173,5997,2306,0,0,0,3
Doda,SC,104,4,180,472,50,10,90,0,0
Ganderbal,DH,1,0,31323,31323,31323,0,0,0,1
Ganderbal,CHC,1,0,21781,21781,21781,0,0,0,1
Ganderbal,SC,58,23,77,293,18,27,8,0,0
Jammu,DH,2,0,25335,35229,15442,0,0,0,2
Jammu,CHC,8,0,7343,22694,1195,0,0,0,8
Jammu,SC,189,3,156,669,40,48,135,3,0
Kargil,DH,1,0,8363,8363,8363,0,0,0,1
Kargil,CHC,4,0,1244,1834,422,0,1,0,3
Kargil,SC,117,21,49,185,10,91,5,0,0
Kathua,DH,1,0,27943,27943,27943,0,0,0,1
Kathua,CHC,6,0,4901,9365,2637,0,0,0,6
Kathua,SC,201,10,129,611,38,71,119,1,0
Kishtwar,DH,1,0,15691,15691,15691,0,0,0,1
Kishtwar,CHC,1,0,667,667,667,0,0,1,0
Kishtwar,SC,95,47,155,310,20,16,32,0,0
Kulgam,DH,1,0,37530,37530,37530,0,0,0,1
Kulgam,CHC,3,0,9231,12050,5409,0,0,0,3
Kulgam,SC,134,21,6,88,1,113,0,0,0
Kupwara,DH,1,0,25985,25985,25985,0,0,0,1
Kupwara,CHC,7,0,21417,90165,1853,0,0,0,7
Kupwara,SC,196,34,62,614,5,135,26,1,0
Leh Ladakh,DH,1,0,15622,15622,15622,0,0,0,1
Leh Ladakh,CHC,3,0,1207,1815,384,0,1,0,2
Leh Ladakh,SC,121,0,102,1072,7,79,41,0,1
Poonch,DH,1,0,19780,19780,19780,0,0,0,1
Poonch,CHC,3,0,7963,9908,4077,0,0,0,3
Poonch,SC,148,10,145,311,20,32,106,0,0
Pulwama,DH,1,0,56796,56796,56796,0,0,0,1
Pulwama,CHC,3,0,18989,27040,7228,0,0,0,3
Pulwama,SC,95,32,63,300,7,53,10,0,0
Rajouri,DH,1,0,20283,20283,20283,0,0,0,1
Rajouri,CHC,7,1,6257,12122,2130,0,0,0,6
Rajouri,SC,153,9,142,455,12,34,110,0,0
Ramban,DH,1,0,8841,8841,8841,0,0,0,1
Ramban,CHC,3,0,4361,8930,1804,0,0,0,3
Ramban,SC,94,1,115,378,12,51,42,0,0
Reasi,DH,1,0,9236,9236,9236,0,0,0,1
Reasi,CHC,2,0,5614,10103,1126,0,0,0,2
Reasi,SC,108,18,178,2602,70,10,79,0,1
Samba,DH,1,0,15844,15844,15844,0,0,0,1
Samba,CHC,3,0,8350,12083,4433,0,0,0,3
Samba,SC,82,0,156,690,43,19,62,1,0
Shopian,DH,1,0,19824,19824,19824,0,0,0,1
Shopian,CHC,2,0,8344,10044,6644,0,0,0,2
Shopian,SC,59,4,22,90,4,55,0,0,0
Srinagar,DH,1,0,47516,47516,47516,0,0,0,1
Srinagar,CHC,2,0,12879,17718,8041,0,0,0,2
Srinagar,SC,75,2,124,1282,10,59,10,2,2
Udhampur,DH,1,0,29972,29972,29972,0,0,0,1
Udhampur,CHC,2,0,10604,11309,9899,0,0,0,2
Udhampur,SC,133,1,127,381,27,39,93,0,0