States/Uts,2007-08 (In lakh nos.),2008-09 (In lakh nos.),2009-10 (In lakh nos.),2010-11 (In lakh nos.),2011-12 (In lakh nos.)
Andhra Pradesh,175884,183446,193958,201277,212103
Arunachal Pradesh,394,361,380,407,419
Assam,4910,4659,4671,4707,4705
Bihar,10707,10740,11002,7446,7552
Chhattisgarh,9184,9738,10520,12454,12984
Goa,152,149,148,149,149
Gujarat,8256,12675,12762,13269,14269
Haryana,41031,38150,38453,39644,41142
Himachal Pradesh,843,977,1000,1021,1050
Jammu & Kashmir,6682,7208,7242,7725,6520
Jharkhand,7130,3995,3925,4153,4313
Karnataka,20181,23688,29094,30674,34699
Kerala,13831,15095,16330,16856,17049
Madhya Pradesh,9747,6713,7075,7577,7972
Maharashtra,34640,35502,38640,42245,43861
Manipur,845,1105,1119,1137,1149
Meghalaya,990,995,999,1011,1021
Mizoram,403,411,371,387,349
Nagaland,802,832,834,802,704
Orissa,15479,19940,23193,23571,23007
Punjab,37914,36790,32828,35449,36030
Rajasthan,6730,6449,6713,6697,9605
Sikkim,135,137,136,140,146
Tamil Nadu,83937,88098,108476,115137,118518
Tripura,1320,1388,1442,1569,1650
Uttar Pradesh,9814,10140,10596,10991,16075
Uttarakhand,1911,1962,2536,2614,2712
West Bengal,30542,33056,36978,39939,43433
Andaman & Nicobar Islands,622,618,657,672,780
Chandigarh,282,273,249,180,181
Dadra & Nagar Haveli,70,71,71,70,73
Daman & Diu,18,19,19,19,20
Delhi,1,1,1,1,1
Lakshadweep,128,135,138,138,140
Puducherry,137,112,113,114,116
Total,535649,555624,602671,630244,664499